node_id,area_m2,C_weighted,Tc_minutes,intensity_mm_hr,runoff_m3s
373,2110648.585331044,0.42,40.8,19.48,4.790702794846419
374,14231.312371236578,0.1,6.0,68.05,0.026900658436017133
379,17947.722165519455,0.1,6.5,64.21,0.03201186738150723
380,690507.653046552,0.584,26.5,25.76,2.885577000303295
384,8232.579787181316,0.7,5.0,76.24,0.1220467579579014
385,834.1473212503691,0.6,5.0,76.24,0.010599521710390521
386,35789.0726230366,0.6,8.5,54.02,0.32225016946342944
388,173593.35536692097,0.517,15.6,36.39,0.9067873066809263
389,36033.53091164552,0.7,8.5,53.93,0.37788224482480115
390,253557.48387553,0.168,18.1,33.1,0.3923655575430303
391,2250248.3710613246,0.508,41.8,19.17,6.087613889090497
392,961189.7829631355,0.249,30.2,23.71,1.5768297875492168
394,42702.861460082175,0.6,9.1,51.69,0.36787805117753164
397,2070.48857963879,0.6,5.0,76.24,0.026309727420931014
398,187.66536481323973,0.1,5.0,76.24,0.0003974444037943999
402,62036.14788526865,0.631,10.5,47.08,0.5119139204410021
403,77402.61529054883,0.107,11.4,44.54,0.10280319146797735
404,382943.5955804281,0.637,21.2,29.85,2.0239406193223513
405,183528.2275371445,0.599,15.9,35.89,1.096456557963041
406,167245.8590590561,0.621,15.4,36.73,1.0596655323611324
408,3140142.6634543454,0.573,47.6,17.63,8.807467960507283
415,100116.48233738574,0.6,12.6,41.76,0.6968636613178097
416,30001.805605199894,0.6,7.9,56.46,0.28233194238650805
417,98519.88713699016,0.6,12.5,41.93,0.6885148419532037
418,5517700.446484978,0.349,59.1,15.31,8.186175538535759
419,98064.90059282369,0.33,12.5,41.98,0.3769250670465371
422,565543.5261120909,0.593,24.6,27.08,2.521447737136736
423,76419.18616274322,0.37,11.4,44.68,0.35110277040220195
424,558.0470255221207,0.6,5.0,76.24,0.007091111380150529
425,244153.28606088573,0.599,17.8,33.41,1.358396152104944
427,40457.89343330567,0.746,8.9,52.39,0.4390402993240597
428,21451.119812094257,0.6,7.0,61.41,0.2195449097462631
429,4171307.3985605026,0.662,53.1,16.42,12.588500864354586
430,69024.8463248995,0.109,10.9,45.84,0.09564904116040539
431,2709921.100628726,0.643,44.9,18.29,8.861503851199158
432,1146301.5936154395,0.505,32.3,22.69,3.6488234837937052
435,260976.87166693073,0.305,18.3,32.86,0.7271161327374754
437,8690.631951247899,0.6,5.0,76.24,0.11043198209422396
441,79035.06447733316,0.6,11.5,44.31,0.5836589671709905
442,316206.07274081296,0.418,19.7,31.32,1.1505867378601502
443,667435.3246952596,0.693,26.2,25.98,3.336259106056457
444,498863.6783388483,0.7,23.4,27.94,2.7103630369836003
446,285294.3252338518,0.6,18.9,32.14,1.5280050336817388
450,4569768.359429541,0.208,55.0,16.05,4.243552623161395
452,88838.42973023462,0.7,12.1,43.03,0.7433255362934965
454,1020982.1152971531,0.356,30.9,23.36,2.3568443990920667
455,4414373.764969995,0.617,54.2,16.19,12.255227418507845
459,28406.501203674612,0.424,7.8,57.24,0.19139332348145496
460,542886.4504936349,0.299,24.2,27.36,1.2318102871744374
461,13489.056591206954,0.1,5.8,68.97,0.025841706821598906
