node_id,land_type,area_m2
163,forest,387126.93503066263
14,water,5159.149979899229
24,water,3141.151637610098
30,water,64909.95580800068
236,residential,96929.2535243601
236,residential,18746.069597895257
236,residential,136276.62173911996
91,park,4547.302847753714
236,residential,57742.48727227762
226,water,14602.557749527487
226,water,82073.1967619758
201,water,17947.722165519455
226,water,34387.98239619622
125,water,59663.02862448591
8,park,515.773079760846
24,residential,16418.727823871806
226,water,12264.657777300952
126,residential,1029.4525551357692
232,commercial,946.9337055695274
226,park,728.6442337298705
226,park,1167.5895649433671
127,park,1725.9160902469782
127,water,394980.3918450466
127,park,11362.614859129908
127,water,41022.41276949542
226,residential,22243.09216322479
226,water,23815.588555341532
226,water,9221.860217864694
25,residential,384865.4941812586
147,commercial,243106.20242907
11,water,4384.919301064718
146,park,1049.3177664453049
146,park,1185.0763918260652
232,park,2525.546642558471
62,park,6064.4806115039555
26,park,1416.1235807330086
7,park,35023.101546828635
24,commercial,3427.619765382795
23,industrial,953563.2485315914
161,residential,24046.883496096856
153,industrial,99126.12413369557
40,water,1502.5353425752974
66,park,59405.99861449182
66,park,20491.8888980988
96,residential,93145.90769117686
18,industrial,92717.99192952053
18,residential,8785.985683640065
105,residential,2954.2626472044403
168,residential,36665.09263751334
147,commercial,132785.78401037634
226,park,2686.8852586464072
98,industrial,555855.3692902662
85,industrial,1542216.1197157684
184,industrial,9533694.884096483
117,residential,44789.76470291624
117,residential,13156.566342984417
124,park,5714.903929905957
70,park,1794.5890994199835
49,park,38293.351066171934
232,water,26659.449243317707
232,water,2539.8764449892815
226,park,6982.7827621293745
117,park,2694.373316316798
117,water,31352.116381047217
124,residential,93491.55338449776
26,park,1882.9006345934054
26,residential,4843.533422797629
26,commercial,10286.544379456114
26,commercial,12742.89541124257
68,commercial,11292.387082731875
157,industrial,1456396.7276925999
157,industrial,1056532.6040541483
2,water,19746.88598454152
232,residential,7241.287261577997
114,commercial,8269.821811300473
7,park,1525.732031997728
114,park,1319.8237822451106
7,park,795.9101977409837
114,park,390.6349333499498
114,park,176.70624393249034
114,commercial,2926.5230465440204
114,commercial,2816.8393855614245
0,residential,42663.60637964098
47,water,158188.7114013772
201,water,213029.08221191415
74,water,59630.502179973555
93,water,201184.75458624636
0,commercial,26888.227307598925
47,water,688.0183229455573
64,water,918.3968120787436
47,park,689.7898850835924
47,residential,50033.7739790916
0,park,515.5507009892236
0,park,702.8400873449896
0,commercial,6842.293596204207
0,commercial,5412.996077478838
47,park,9722.956705409015
17,park,1805.5308605559233
17,commercial,37450.348954814086
46,commercial,3912.730996149197
