node_id,x,y,elevation_m
184,8745479.0,1987432.1,570
185,8745767.2,1987699.5,569
186,8721060.3,1966044.9,523
187,8721072.5,1966026.4,521
188,8721611.4,1965659.2,516
189,8719423.6,1967049.4,536
190,8719422.2,1967038.5,536
191,8719703.9,1968540.8,544
192,8719532.8,1968442.5,546
193,8719527.4,1968419.7,543
194,8719523.1,1968406.7,543
195,8719486.6,1968308.6,543
196,8719324.9,1967407.9,534
197,8719373.1,1967301.9,534
198,8720188.7,1969188.2,553
199,8720100.2,1969032.0,549
200,8720228.3,1969249.0,557
201,8727702.0,1963979.9,508
202,8727358.1,1964324.1,511
203,8729123.9,1987887.5,610
204,8729334.9,1987830.1,617
205,8728550.6,1987992.5,602
206,8729029.5,1987937.2,607
207,8749474.9,1956333.5,515
208,8750503.8,1956805.0,505
209,8736208.3,1974706.5,531
210,8740093.8,1969256.8,508
211,8740058.7,1969364.4,511
212,8740120.6,1969158.3,506
213,8740117.8,1969193.9,506
214,8745862.9,1987818.9,570
215,8745858.2,1987830.1,570
216,8745894.7,1988019.4,568
217,8722817.4,1968442.6,545
218,8723120.2,1967498.5,539
219,8720910.4,1967761.4,544
220,8721949.9,1967612.6,546
221,8723263.6,1968169.8,547
222,8722872.1,1968425.5,545
223,8722268.0,1967617.4,544
224,8722875.4,1967515.6,544
225,8722229.2,1967599.2,546
226,8728862.8,1980213.9,566
227,8728982.3,1979691.8,562
228,8721995.9,1967566.3,547
229,8747679.1,1968650.0,487
230,8747917.9,1968671.3,489
231,8747682.6,1968661.4,487
232,8726424.9,1971926.8,561
233,8726401.9,1971617.2,562
234,8749429.1,1965999.3,459
235,8754741.4,1965157.2,460
236,8747272.0,1965885.6,471
237,8747214.8,1966176.0,465
238,8732854.1,1962256.2,504
239,8733160.4,1962783.2,493
240,8740051.8,1969397.3,510
241,8740068.3,1969510.6,509
242,8740182.0,1969775.8,511
243,8740231.6,1969865.3,512
244,8738112.5,1976542.4,543
245,8738090.9,1976459.8,539
